rating,type
2.47,historical
1.5,historical
4.33,historical
2.34,historical
3.6,historical
4.26,historical
4.05,historical
4.39,historical
4.52,historical
5.0,historical
2.71,historical
3.68,historical
2.51,historical
5.0,historical
1.37,historical
0.0,historical
2.24,historical
2.67,historical
5.0,historical
1.82,historical
3.98,historical
0.53,historical
4.31,historical
0.0,historical
5.0,historical
1.37,historical
2.87,historical
5.0,historical
1.99,historical
5.0,historical
3.85,historical
4.54,historical
4.51,historical
0.28,historical
2.58,historical
5.0,historical
3.93,historical
0.84,historical
2.33,historical
4.45,historical
3.7,historical
5.0,historical
3.86,historical
3.55,historical
3.99,historical
0.52,historical
4.05,historical
3.74,historical
1.99,historical
4.04,historical
3.09,historical
4.01,historical
3.13,historical
2.85,historical
1.96,historical
2.22,historical
1.78,historical
0.53,historical
3.74,historical
3.7,historical
4.39,historical
0.0,historical
2.73,historical
5.0,historical
2.91,historical
4.91,historical
4.92,historical
2.8,historical
2.41,historical
4.28,historical
5.0,historical
1.98,historical
3.89,historical
3.86,historical
2.49,historical
4.61,historical
2.14,historical
4.51,historical
1.35,historical
4.66,historical
5.0,historical
4.51,historical
2.07,historical
3.46,historical
3.38,historical
4.65,historical
3.16,historical
3.94,historical
5.0,historical
5.0,historical
3.63,historical
0.0,historical
3.14,historical
3.95,historical
2.71,historical
1.41,historical
1.41,historical
1.17,historical
5.0,historical
2.63,historical
4.04,historical
1.55,historical
2.85,historical
3.31,historical
1.47,historical
4.57,historical
0.94,historical
5.0,historical
3.66,historical
2.9,historical
0.82,historical
1.68,historical
1.54,historical
2.0,historical
3.92,historical
3.33,historical
4.81,historical
4.69,historical
2.06,historical
5.0,historical
1.23,historical
4.24,historical
4.02,historical
5.0,historical
1.51,historical
3.71,historical
0.85,historical
4.51,historical
2.92,historical
4.42,historical
2.52,historical
2.35,historical
4.95,historical
5.0,historical
5.0,historical
4.34,historical
2.93,historical
3.05,historical
2.76,historical
5.0,historical
2.19,historical
4.58,historical
4.09,historical
4.52,historical
2.88,historical
3.87,historical
2.97,historical
2.82,historical
4.14,historical
5.0,historical
2.26,historical
4.16,historical
2.98,historical
2.16,historical
3.78,historical
3.54,historical
3.04,historical
