arm,reward
1,4.1
3,6.04
4,3.6
2,3.98
3,4.72
5,3.61
4,6.41
1,4.8
2,5.24
0,3.49
4,5.5
4,6.0
1,5.12
4,3.81
1,6.21
5,5.55
1,5.39
4,3.32
1,4.97
5,4.04
1,6.33
2,4.78
2,4.92
1,3.82
5,3.09
3,6.37
5,3.3
2,4.15
3,4.48
3,4.39
0,4.58
1,4.9
3,5.89
3,3.79
4,2.63
0,5.96
3,6.2
5,5.45
1,5.36
0,0.0
4,3.93
5,4.13
0,3.28
2,3.96
2,5.68
3,3.9
1,5.63
0,0.0
4,4.7
4,4.43
1,5.72
3,3.9
3,4.45
1,4.73
5,3.34
5,4.65
0,4.69
4,5.18
5,6.68
0,2.79
5,3.62
1,4.59
2,4.85
2,4.03
4,5.05
2,4.08
0,0.0
4,2.55
1,4.11
3,5.77
0,5.76
4,2.89
2,5.74
4,6.5
5,5.65
2,3.92
3,3.57
4,3.92
1,5.17
2,4.5
2,5.26
0,4.07
5,3.19
4,2.89
3,4.71
2,3.25
2,4.16
1,4.4
0,0.0
3,4.51
3,5.09
1,6.33
1,4.22
5,4.99
3,5.17
3,5.24
5,3.34
2,4.43
1,6.18
3,4.56
1,6.63
4,3.24
3,5.57
2,4.92
4,3.89
3,4.8
5,4.06
1,4.11
1,6.02
0,2.34
2,3.86
1,5.05
4,3.8
4,5.06
1,3.33
0,1.62
3,5.35
1,3.98
1,4.32
4,4.96
2,4.28
4,4.78
2,5.67
1,4.26
4,4.97
1,6.18
1,3.75
5,6.15
4,4.63
0,2.68
0,2.41
0,3.67
3,4.06
2,5.86
1,2.77
0,4.1
3,4.54
4,4.66
5,4.19
0,7.0
2,3.05
0,4.83
3,6.64
4,6.35
0,1.8
0,1.28
1,4.37
0,6.21
4,4.64
4,5.05
4,4.73
4,3.19
5,4.02
2,4.39
4,5.19
5,3.86
1,3.72
4,6.72
1,4.82
0,2.0
3,4.59
3,4.97
3,5.25
2,5.33
3,3.89
0,4.18
2,5.65
0,0.0
0,5.7
3,5.4
4,3.79
3,3.71
2,3.93
0,4.04
3,5.1
3,6.54
2,5.12
5,6.32
5,2.94
4,3.94
1,5.75
3,6.21
3,2.25
4,3.75
4,3.7
0,0.0
4,5.66
5,3.33
0,2.5
1,4.32
5,4.55
2,4.74
2,4.62
1,3.7
0,3.63
2,5.8
5,5.65
3,4.49
4,3.56
4,3.59
2,3.27
0,6.47
1,5.12
3,5.77
4,5.13
4,4.62
2,5.33
5,2.48
3,5.79
5,4.84
4,3.64
4,6.25
3,4.68
1,5.12
2,4.54
3,3.88
1,3.72
1,6.63
1,4.16
3,3.46
4,4.13
1,5.26
1,3.27
3,3.72
0,4.22
1,5.9
2,4.94
4,5.14
1,2.8
1,5.61
3,6.12
4,5.14
4,3.71
3,5.81
1,4.2
4,4.54
1,7.0
3,4.83
4,4.45
2,5.03
0,1.96
3,6.55
3,6.48
3,4.21
1,5.39
2,5.48
4,3.25
3,4.52
2,5.17
2,5.08
3,5.76
0,6.85
2,5.07
0,3.48
1,4.35
4,6.45
3,5.02
0,0.74
5,3.22
5,2.74
5,3.58
2,3.94
0,7.0
1,4.34
2,5.56
4,3.51
3,4.36
0,3.26
4,2.41
1,3.54
2,5.56
2,5.09
1,2.77
1,5.24
